Component,Eigenvalue,Explained_Inertia_%,Cumulative_Inertia_%
Dim1,0.3241857240788754,7.587325457165068,7.587325457165068
Dim2,0.2951329167317504,6.907366136274919,14.494691593439986
Dim3,0.27057759517319474,6.332667121074687,20.827358714514673
Dim4,0.24288934762801734,5.684644306187565,26.51200302070224
Dim5,0.20338442486081354,4.7600610073806795,31.27206402808292
Dim6,0.19254540669947318,4.50638185892378,35.7784458870067
Dim7,0.17334775044748985,4.057075010473113,39.83552089747982
Dim8,0.14412836847133073,3.373217134435355,43.208738031915175
Dim9,0.1025627826856342,2.400405552216939,45.60914358413211
Dim10,0.0955425689104785,2.236102676628191,47.845246260760305
