k,cumulative_inertia_%,lda_train_accuracy,lda_cv_mean,lda_cv_std,silhouette_score,kmeans_inertia,overfitting_gap
2,30.3,0.889,0.8578,0.104,0.668,982.36,0.0312
3,43.5,0.8848,0.8607,0.1019,0.668,2936.79,0.0241
4,55.4,0.8897,0.8885,0.1028,0.5953,4801.01,0.0012
5,65.3,0.8871,0.7709,0.1398,0.4104,6379.47,0.1162
6,74.7,0.887,0.7468,0.1616,0.3701,7923.58,0.1402
7,83.2,0.8887,0.798,0.181,0.3434,9270.66,0.0908
8,90.3,0.8882,0.8003,0.179,0.4152,10547.99,0.0879
9,95.3,0.8891,0.7972,0.1847,0.3944,11356.69,0.0919
10,100.0,0.9549,0.8759,0.1101,0.289,11967.41,0.079
